params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_tree_method,param_gpu_id,param_scale_pos_weight
"{'n_estimators': 100, 'learning_rate': 0.2643466588184981, 'max_depth': 11, 'min_child_weight': 2, 'reg_alpha': 0.09461872352963445, 'reg_lambda': 0.07809099526742441, 'gamma': 12.839506444758467, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6037664307381193,0.7074816221681742,0.7903629109392507,0.7396599076326074,0.7600397332198099,0.5804732848155582,0.8792596647002776,0.8604539587936777,0.8463277179752275,0.8612952489069986,0.76291204798897,0.1013285964104121,9,4.051385164260864,1,100,0.2643466588184981,11,2,0.09461872352963445,0.07809099526742441,12.839506444758467,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.001, 'max_depth': 50, 'min_child_weight': 6, 'reg_alpha': 0.001, 'reg_lambda': 0.1, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6089791763452026,0.7271541005110267,0.8309512748339847,0.7361346432377777,0.7955597451127464,0.5790238331745357,0.8967916100738578,0.8989370687965834,0.872117145424936,0.8948792799367511,0.7840527877447402,0.11247195718037145,7,57.28156661987305,1,1000,0.001,50,6,0.001,0.1,0.001,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.001, 'max_depth': 50, 'min_child_weight': 7, 'reg_alpha': 0.001, 'reg_lambda': 0.1, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6091704697619763,0.7271575164648976,0.8316617932391441,0.7352225835542316,0.800874401129829,0.5851493712285539,0.8973794995506361,0.8979977971037997,0.8716677816294676,0.8958692317568435,0.7852150445419379,0.11149423470478297,6,57.679243326187134,1,1000,0.001,50,7,0.001,0.1,0.001,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.3, 'max_depth': 6, 'min_child_weight': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7311131910474681,0.8264797912168994,0.8755841281119341,0.8334483371136556,0.8668160041084689,0.72436092359464,0.9144958678802868,0.9274868738470272,0.927453087095488,0.918655016994736,0.8545893221010605,0.07235298204756171,2,5.023834943771362,1,100,0.3,6,10,0.1,0.1,0.001,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.001, 'max_depth': 48, 'min_child_weight': 15, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5983179843139398,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.509831798431394,0.02949539529418194,13,3.921335458755493,1,100,0.001,48,15,0.1,0.1,0.001,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.001, 'max_depth': 50, 'min_child_weight': 30, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6069261880687563,0.7074816221681742,0.8092531358456536,0.7399605115732517,0.7900153391851987,0.5832674491678324,0.8794758999101271,0.8859426841546892,0.8617750207788523,0.8858413239000723,0.7749939174752608,0.1073473837131877,8,39.172120332717896,1,1000,0.001,50,30,0.1,0.1,0.001,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.001, 'max_depth': 50, 'min_child_weight': 30, 'reg_alpha': 0.030713202560346115, 'reg_lambda': 0.001, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6085248544803651,0.7252172546661929,0.8192413849643375,0.738932309458093,0.7867109948846859,0.7049402988100307,0.8900950759188306,0.8917067039672404,0.864582699831742,0.8928013947171035,0.7922752971698622,0.09180478441801795,5,50.73626613616944,1,1000,0.001,50,30,0.030713202560346115,0.001,0.001,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.118813753883482, 'max_depth': 6, 'min_child_weight': 30, 'reg_alpha': 0.1, 'reg_lambda': 0.01282219735086593, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.694767441860465,0.8018234361763179,0.8729299319541989,0.8227598174514251,0.8407866907228337,0.7152925594815761,0.9134146918310392,0.9240777906167434,0.9248616432524478,0.9173981498374856,0.8428112153184533,0.0806572064447108,4,4.809092044830322,1,100,0.118813753883482,6,30,0.1,0.01282219735086593,0.001,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.1970349522942727, 'max_depth': 47, 'min_child_weight': 30, 'reg_alpha': 0.047129120387116016, 'reg_lambda': 0.1, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6944805017353044,0.8154155166288634,0.872424370781297,0.8395526466810592,0.8454154756836749,0.7153263462331151,0.9116645381013196,0.924486610310365,0.9259293046010798,0.9184455391351944,0.8463140849891273,0.07988577665254513,3,27.56148147583008,1,1000,0.1970349522942727,47,30,0.047129120387116016,0.1,0.001,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.2602464437814906, 'max_depth': 6, 'min_child_weight': 9, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7315196895581121,0.8377080315907414,0.8793485092777307,0.8522941546197361,0.8620554508166258,0.7378756242102347,0.918989505834972,0.9209592734496947,0.9176380357734124,0.908552778284579,0.8566941053415839,0.06717326536756249,1,16.535140991210938,1,500,0.2602464437814906,6,9,0.1,0.1,0.001,gpu_hist,0,0.04843400447427293
