params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_tree_method,param_gpu_id,param_scale_pos_weight
"{'n_estimators': 500, 'learning_rate': 0.21429825059331933, 'max_depth': 37, 'min_child_weight': 27, 'reg_alpha': 0.07023870211705759, 'reg_lambda': 0.09908482614701672, 'gamma': 35.646505143460104, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,14.573997735977173,1,500,0.21429825059331933,37,27,0.07023870211705759,0.09908482614701672,35.646505143460104,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.23588665906305395, 'max_depth': 46, 'min_child_weight': 17, 'reg_alpha': 0.07974947017336205, 'reg_lambda': 0.1, 'gamma': 19.852484918793103, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,5,3.698961496353149,1,100,0.23588665906305395,46,17,0.07974947017336205,0.1,19.852484918793103,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.3, 'max_depth': 6, 'min_child_weight': 8, 'reg_alpha': 0.08053243018314891, 'reg_lambda': 0.1, 'gamma': 53.52487835006176, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.5,0.5,0.5,0.5,0.5760404630136431,0.5,0.5,0.5,0.5,0.5166255804745669,0.03340188712931104,12,3.225947618484497,1,100,0.3,6,8,0.08053243018314891,0.1,53.52487835006176,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.3, 'max_depth': 6, 'min_child_weight': 2, 'reg_alpha': 0.078963779221804, 'reg_lambda': 0.1, 'gamma': 100.0, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,3.3700201511383057,1,100,0.3,6,2,0.078963779221804,0.1,100.0,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.18718483410616898, 'max_depth': 26, 'min_child_weight': 12, 'reg_alpha': 0.0780121963438516, 'reg_lambda': 0.07196850023124654, 'gamma': 21.17206366103206, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,5,14.804250240325928,1,500,0.18718483410616898,26,12,0.0780121963438516,0.07196850023124654,21.17206366103206,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.19167171442443043, 'max_depth': 23, 'min_child_weight': 12, 'reg_alpha': 0.07813747751183626, 'reg_lambda': 0.07369786134925647, 'gamma': 20.99914875390298, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,5,15.103997945785522,1,500,0.19167171442443043,23,12,0.07813747751183626,0.07369786134925647,20.99914875390298,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.17253900772008426, 'max_depth': 50, 'min_child_weight': 18, 'reg_alpha': 0.089453178152728, 'reg_lambda': 0.1, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6429064301915668,0.8359453993933266,0.8516212117071571,0.8493120268903889,0.8206328934298283,0.6242642934852386,0.8869393933250893,0.9074783595856392,0.9131984566211896,0.909556244805287,0.824185470943471,0.10022613877777613,2,4.095965147018433,1,100,0.17253900772008426,50,18,0.089453178152728,0.1,0.001,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.14804012367988303, 'max_depth': 50, 'min_child_weight': 18, 'reg_alpha': 0.09009866416318559, 'reg_lambda': 0.1, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6432070341322111,0.8332912032355915,0.8526904052687673,0.8466783264558795,0.8216667680269213,0.6156621865434126,0.8878414995911803,0.90812030786488,0.913485644009271,0.9100360166771404,0.8232679391805255,0.10201786024113424,3,4.303761720657349,1,100,0.14804012367988303,50,18,0.09009866416318559,0.1,0.001,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.08122058095838759, 'max_depth': 15, 'min_child_weight': 25, 'reg_alpha': 0.1, 'reg_lambda': 0.031601396852771954, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6848372639575876,0.8347668953078459,0.8508628699478042,0.8410078430300877,0.8246062154108131,0.7088392899376297,0.8934940231236528,0.9089413259272772,0.9172832748822533,0.909590031556826,0.8374229033081777,0.07747616273770078,1,4.563420057296753,1,100,0.08122058095838759,15,25,0.1,0.031601396852771954,0.001,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.3, 'max_depth': 24, 'min_child_weight': 19, 'reg_alpha': 0.07409686122717346, 'reg_lambda': 0.07121787695630101, 'gamma': 0.001, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6194900664061432,0.8379676440849343,0.8547912168994071,0.8449259421200777,0.8184874347071026,0.6027083460033651,0.8926392183097164,0.9054680478690696,0.9072722604012516,0.9086338664882726,0.819238404328934,0.10845487748634844,4,3.770344495773315,1,100,0.3,24,19,0.07409686122717346,0.07121787695630101,0.001,gpu_hist,0,0.04843400447427293
