mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC
0.5779711723327636,0.03754853972054042,0.03430516719818115,0.00511478511229398,gini,9,2,2,100,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,169,0.011627906976744186,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002325581395348837,0.004651162790697674,172,0.022988505747126436,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004597701149425287,0.009195402298850573,172,0.9128795124750635,0.9049271718634712,0.932217227338562,0.8879464651709343,0.931220309892085,0.8411144222127619,0.9314973612547048,0.9459648482636989,0.94366059180874,0.9428902538736511,0.9174318164153673,0.031028382628621645,212
2.757786226272583,0.06997188556379273,0.11830625534057618,0.011950254136451522,gini,9,2,2,500,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,169,0.011627906976744186,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0023122159850307404,0.00462452853993697,176,0.022988505747126436,0.0,0.0,0.0,0.0,0.022727272727272724,0.0,0.0,0.0,0.0,0.004571577847439915,0.009143342287990021,176,0.9118478944060339,0.9050023228486322,0.9360840871204876,0.8946075752193042,0.9368829694500191,0.8435639616993384,0.9298958692317567,0.9468162744024813,0.9490529573543622,0.9412414603985486,0.9194995372130965,0.030711842976957587,187
5.624006462097168,0.09279853520434979,0.2221531867980957,0.013646527041494447,gini,9,2,2,1000,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,181,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0011494252873563218,0.003448275862068966,218,0.0,0.0,0.0,0.0,0.0,0.022727272727272724,0.0,0.0,0.0,0.0,0.0022727272727272726,0.006818181818181816,215,0.9112466865247453,0.9056376902686307,0.9357356598256497,0.8953044298089798,0.9371397487617156,0.8441045497239623,0.9300850750403753,0.9472555021724881,0.948992141201592,0.940727901775156,0.9196229385103296,0.030508373476915172,183
0.5799018144607544,0.025177061174390333,0.032101225852966306,0.005626472430023053,gini,9,2,6,100,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 100}",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,169,0.011627906976744186,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0023122159850307404,0.00462452853993697,176,0.022988505747126436,0.0,0.0,0.0,0.0,0.022727272727272724,0.0,0.0,0.0,0.0,0.004571577847439915,0.009143342287990021,176,0.9131664526002241,0.9054942202060503,0.9366647992785506,0.893965375891564,0.9291829687742842,0.8412056464419172,0.9318217140694791,0.9441606357315169,0.9428024083196498,0.9396095602992154,0.9178073781612452,0.030142009373333816,206
2.724924612045288,0.06400505618679697,0.11733601093292237,0.010359441762881573,gini,9,2,6,500,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 500}",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.45825756949558394,151,0.011627906976744186,0.0,0.0,0.011627906976744186,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.003475006682705159,0.005308272562638372,171,0.022988505747126436,0.0,0.0,0.022988505747126436,0.0,0.022727272727272724,0.0,0.0,0.0,0.0,0.006870428422152559,0.010494969516639616,171,0.9118137348673243,0.9071475418795945,0.9378057278714508,0.8957826633509142,0.9360991168143148,0.8424963003507064,0.9299837147857583,0.9468027597018658,0.9491137735071324,0.9410319825390068,0.919807731566807,0.03083727921185073,181
5.4268022060394285,0.14892835143002184,0.22900793552398682,0.014735083058830502,gini,9,2,6,1000,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 1000}",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,181,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0011494252873563218,0.003448275862068966,218,0.0,0.0,0.0,0.0,0.0,0.022727272727272724,0.0,0.0,0.0,0.0,0.0022727272727272726,0.006818181818181816,215,0.9112740141557129,0.9062184024266936,0.9379970212882245,0.8957689995354303,0.936322109374472,0.842543601802861,0.930159405893761,0.9480461121585004,0.9486542736862023,0.9398967476872968,0.9196880688009154,0.030901111936471652,182
0.5666325092315674,0.025274446875725914,0.03079211711883545,0.005227417778974963,gini,9,2,10,100,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,169,0.011627906976744186,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002325581395348837,0.004651162790697674,172,0.022988505747126436,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004597701149425287,0.009195402298850573,172,0.9124764299182904,0.8983958680621977,0.9352642581914574,0.8987682070341322,0.9328420739659564,0.8421719475359324,0.9299904721360661,0.9421232946137161,0.942559143708569,0.9376972301621088,0.9172288925328427,0.02960374993262515,213
2.720336151123047,0.08594329094571306,0.11768810749053955,0.006439181206228933,gini,9,2,10,500,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,181,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0011627906976744186,0.0034883720930232558,181,0.0,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126436,0.006896551724137932,181,0.9103926980570054,0.9057333369770175,0.9349431585275871,0.8973676659470391,0.9350382128159906,0.8421854622365479,0.9293687959077487,0.944626892902755,0.9485461560812773,0.9393021008602107,0.918750448031318,0.03029638114058211,195
5.409833526611328,0.05536397525660838,0.21511521339416503,0.012525903153781524,gini,9,2,10,1000,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1000}",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,169,0.0,0.0,0.0,0.011627906976744186,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0023122159850307404,0.00462452853993697,176,0.0,0.0,0.0,0.022988505747126436,0.0,0.022727272727272724,0.0,0.0,0.0,0.0,0.004571577847439915,0.009143342287990021,176,0.910679638182166,0.9053644139589538,0.9342258082146859,0.8971422129915558,0.9358761242541574,0.8437599248582646,0.9293079797549785,0.9462013555244717,0.9481812591646563,0.938653395230662,0.9189392112134552,0.0299909173919282,194
0.5410693407058715,0.020659448076638807,0.031953072547912596,0.0034768512535360554,gini,9,5,2,100,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,0.9078375645615282,0.8955264668105922,0.9283981909108299,0.886323887082229,0.92712535560556,0.825376553345902,0.9298114023529094,0.9340651543716678,0.9423834526005662,0.9279227229418799,0.9104770750583663,0.03302555961967202,271
