mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC
0.009366488456726075,0.001165845127966209,0.0,0.0,0.001,50000,l1,newton-cholesky,"{'C': 0.001, 'max_iter': 50000, 'penalty': 'l1', 'solver': 'newton-cholesky'}",,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,,,,,11
0.7352466821670532,0.04221176080076381,0.014838981628417968,0.003609877124879896,0.001,50000,l2,newton-cholesky,"{'C': 0.001, 'max_iter': 50000, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.718409258601372,0.8402495012707347,0.8629553466509988,0.8488201295329708,0.8562745376283052,0.6143749113097772,0.8810267118057667,0.9105968767526877,0.9076439146681803,0.8960753309412313,0.8336426519162025,0.08974616858960094,10
0.018042969703674316,0.004112889149635208,0.0,0.0,0.001,50000,elasticnet,newton-cholesky,"{'C': 0.001, 'max_iter': 50000, 'penalty': 'elasticnet', 'solver': 'newton-cholesky'}",,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,,,,,11
0.7499953746795655,0.04965193959303888,0.014604640007019044,0.003348116250674964,0.001,50000,,newton-cholesky,"{'C': 0.001, 'max_iter': 50000, 'penalty': None, 'solver': 'newton-cholesky'}",0.5483870967741935,0.6756756756756757,0.6060606060606061,0.5223880597014925,0.6666666666666666,0.6666666666666666,0.6857142857142857,0.8285714285714286,0.825,0.7619047619047619,0.6787035247735778,0.09890777185047504,5,0.19767441860465115,0.29069767441860467,0.23255813953488372,0.4069767441860465,0.3218390804597701,0.13793103448275862,0.27586206896551724,0.3333333333333333,0.3793103448275862,0.367816091954023,0.29439989307671743,0.08097041015254912,2,0.29059829059829057,0.4065040650406504,0.3361344537815126,0.457516339869281,0.43410852713178294,0.2285714285714286,0.39344262295081966,0.47540983606557374,0.5196850393700788,0.4961240310077519,0.40380946343871693,0.08893704593218904,2,0.886904599240292,0.866764135217118,0.9041995736889569,0.8517305222310279,0.9147729192429065,0.8716475095785441,0.8801955577179077,0.9322170190624851,0.9270577821024819,0.8895950319960537,0.8925084650077773,0.025209328046750207,3
0.023156213760375976,0.006945589388759408,0.0,0.0,0.1,50000,l1,newton-cholesky,"{'C': 0.1, 'max_iter': 50000, 'penalty': 'l1', 'solver': 'newton-cholesky'}",,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,,,,,11
0.8981040954589844,0.02628262303435325,0.015736985206604003,0.00267771910523353,0.1,50000,l2,newton-cholesky,"{'C': 0.1, 'max_iter': 50000, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.7142857142857143,0.782608695652174,0.75,0.8064516129032258,0.9047619047619048,0.7142857142857143,0.7647058823529411,0.8666666666666667,0.9411764705882353,1.0,0.8244942661496577,0.09387983772190474,1,0.11627906976744186,0.20930232558139536,0.13953488372093023,0.29069767441860467,0.21839080459770116,0.05747126436781609,0.14942528735632185,0.14942528735632185,0.1839080459770115,0.13793103448275862,0.16523656776263032,0.06064044557874667,9,0.2,0.33027522935779813,0.2352941176470588,0.4273504273504274,0.3518518518518519,0.10638297872340424,0.25,0.25490196078431376,0.3076923076923077,0.2424242424242424,0.2706173115831404,0.08412626602417177,9,0.8668324542945371,0.8522531631732845,0.8994582297160659,0.8668017107096986,0.9021569462182489,0.7970801489320007,0.9195436085602113,0.9300580456391441,0.9186043368674276,0.9131376404684195,0.8865926284579038,0.03884069538080818,9
0.016633129119873045,0.00231796313476686,0.0,0.0,0.1,50000,elasticnet,newton-cholesky,"{'C': 0.1, 'max_iter': 50000, 'penalty': 'elasticnet', 'solver': 'newton-cholesky'}",,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,,,,,11
0.6921051740646362,0.048287974519855587,0.014522337913513183,0.0027467282252387018,0.1,50000,,newton-cholesky,"{'C': 0.1, 'max_iter': 50000, 'penalty': None, 'solver': 'newton-cholesky'}",0.5483870967741935,0.6756756756756757,0.6060606060606061,0.5223880597014925,0.6666666666666666,0.6666666666666666,0.6857142857142857,0.8285714285714286,0.825,0.7619047619047619,0.6787035247735778,0.09890777185047504,5,0.19767441860465115,0.29069767441860467,0.23255813953488372,0.4069767441860465,0.3218390804597701,0.13793103448275862,0.27586206896551724,0.3333333333333333,0.3793103448275862,0.367816091954023,0.29439989307671743,0.08097041015254912,2,0.29059829059829057,0.4065040650406504,0.3361344537815126,0.457516339869281,0.43410852713178294,0.2285714285714286,0.39344262295081966,0.47540983606557374,0.5196850393700788,0.4961240310077519,0.40380946343871693,0.08893704593218904,2,0.886904599240292,0.866764135217118,0.9041995736889569,0.8517305222310279,0.9147729192429065,0.8716475095785441,0.8801955577179077,0.9322170190624851,0.9270577821024819,0.8895950319960537,0.8925084650077773,0.025209328046750207,3
0.020506834983825682,0.0032348895592883157,0.0,0.0,1,50000,l1,newton-cholesky,"{'C': 1, 'max_iter': 50000, 'penalty': 'l1', 'solver': 'newton-cholesky'}",,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,,,,,11
0.9253046035766601,0.053910940479756995,0.020959186553955077,0.00392608008076555,1,50000,l2,newton-cholesky,"{'C': 1, 'max_iter': 50000, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.5925925925925926,0.7419354838709677,0.6521739130434783,0.5094339622641509,0.5757575757575758,0.6923076923076923,0.7692307692307693,0.8333333333333334,0.8275862068965517,0.8518518518518519,0.7046203381148964,0.11361666423938133,2,0.18604651162790697,0.26744186046511625,0.1744186046511628,0.313953488372093,0.21839080459770116,0.10344827586206896,0.22988505747126436,0.28735632183908044,0.27586206896551724,0.26436781609195403,0.23211708099438652,0.06012554430036954,8,0.2831858407079646,0.3931623931623931,0.27522935779816515,0.3884892086330935,0.3166666666666667,0.18,0.35398230088495575,0.4273504273504274,0.41379310344827586,0.40350877192982454,0.3435368070581767,0.07478253186112002,8,0.8884486103899654,0.8655138961003471,0.9109358347224878,0.8626752384335802,0.9143066620716684,0.8495442167217391,0.9166311905775508,0.9354402751593045,0.9289565975389731,0.9127524715008751,0.8985204993216491,0.028456551738150215,1
