params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 1000, 'max_depth': 32, 'min_samples_split': 17, 'min_samples_leaf': 6, 'criterion': 'entropy'}",0.6666666666666666,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.8166666666666667,0.32015621187164245,6,0.0232558139534883,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.0689655172413793,0.0114942528735632,0.0459770114942528,0.0689655172413793,0.02766639935846026,0.023639780229324267,7,0.0449438202247191,0.0454545454545454,0.0229885057471264,0.0227272727272727,0.0,0.0227272727272727,0.1290322580645161,0.0227272727272727,0.0879120879120879,0.1290322580645161,0.05275452936493291,0.044001022272873516,7,0.9314076462711448,0.91917169950537,0.941850217254666,0.917590112863116,0.946397318683398,0.8903923993323737,0.9434308418982748,0.9459175468115442,0.9573171967807984,0.9460864805692392,0.9339561459969925,0.018797738146317095,7,90.7182159423828,1,1000,32,17,6,entropy
"{'n_estimators': 500, 'max_depth': 6, 'min_samples_split': 29, 'min_samples_leaf': 18, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.8763834613177384,0.8745149345503238,0.9044147787828274,0.8706173311835597,0.9081676093170348,0.7811530742565225,0.9200402738078344,0.9319298316744038,0.9271050835546366,0.921459317372472,0.8915785695817353,0.04264794513005596,20,19.562621593475345,1,500,6,29,18,entropy
"{'n_estimators': 500, 'max_depth': 31, 'min_samples_split': 4, 'min_samples_leaf': 15, 'criterion': 'entropy'}",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,10,0.0,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.00116279069767441,0.0034883720930232297,10,0.0,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126397,0.006896551724137919,10,0.9165960702866668,0.9011696226054162,0.9309567403601782,0.897456480747684,0.932287971240717,0.8584841911789549,0.9337712096332786,0.9397548433308331,0.944525532648138,0.9366295688134768,0.9191632230845344,0.025259773645778524,9,38.62004351615906,1,500,31,4,15,entropy
"{'n_estimators': 100, 'max_depth': 24, 'min_samples_split': 18, 'min_samples_leaf': 4, 'criterion': 'entropy'}",0.8333333333333334,1.0,0.75,0.5,0.0,0.75,1.0,1.0,1.0,1.0,0.7833333333333334,0.30550504633038933,7,0.1162790697674418,0.0697674418604651,0.0348837209302325,0.0116279069767441,0.0,0.0344827586206896,0.1379310344827586,0.2068965517241379,0.2183908045977011,0.0919540229885057,0.09222133119486764,0.07339138971999093,6,0.2040816326530612,0.1304347826086956,0.0666666666666666,0.0227272727272727,0.0,0.0659340659340659,0.2424242424242424,0.3428571428571428,0.3584905660377358,0.1684210526315789,0.16020374245404617,0.1202165127547258,6,0.933293252807914,0.9257098352143852,0.9444873336430464,0.9191819473669828,0.950722022880388,0.8919060458013204,0.9493773101691364,0.947593369687878,0.96065532783285,0.9448769148641434,0.9367803360268045,0.01903434964994228,6,9.027582168579102,1,100,24,18,4,entropy
"{'n_estimators': 500, 'max_depth': 39, 'min_samples_split': 24, 'min_samples_leaf': 29, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.901866477195092,0.8939243844451125,0.920900172164075,0.8850019129341677,0.9170129808699412,0.8288363167034942,0.9248515072269862,0.9340246102698212,0.9324433902977964,0.9244325515079028,0.9063294303614391,0.030133114289239687,19,32.47265386581421,1,500,39,24,29,entropy
"{'n_estimators': 500, 'max_depth': 19, 'min_samples_split': 19, 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.9062867215041128,0.8975794550870384,0.9241111688027766,0.8900643565709289,0.9247805550487542,0.8407326319203715,0.9295444870157514,0.9363153520241644,0.9369437856027896,0.9297505862001392,0.9116109099776827,0.02818800113243796,16,34.890291690826416,1,500,19,19,20,entropy
"{'n_estimators': 1000, 'max_depth': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.8333333333333334,0.9583333333333334,0.9583333333333334,0.9,0.9285714285714286,0.8666666666666667,1.0,0.8857142857142857,1.0,0.9655172413793104,0.9296469622331692,0.05374439923915948,1,0.2325581395348837,0.2674418604651162,0.2674418604651162,0.313953488372093,0.2988505747126437,0.1494252873563218,0.3333333333333333,0.3563218390804598,0.3448275862068966,0.3218390804597701,0.28859930499866343,0.05916687812514374,1,0.3636363636363636,0.4181818181818182,0.4181818181818182,0.4655172413793103,0.4521739130434783,0.2549019607843137,0.5,0.5081967213114754,0.5128205128205129,0.4827586206896551,0.43763689700287456,0.0756109555110112,1,0.9509195747820622,0.935301833684038,0.9540315087585058,0.941535949498538,0.9641083338401346,0.927490252522181,0.9556211018535412,0.94985708204099,0.9650340908323028,0.95866190949205,0.9502561637304344,0.011586726526840747,1,103.85105514526369,1,1000,50,2,2,entropy
"{'n_estimators': 1000, 'max_depth': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.8333333333333334,0.9583333333333334,0.9583333333333334,0.9,0.9285714285714286,0.8666666666666667,1.0,0.8857142857142857,1.0,0.9655172413793104,0.9296469622331692,0.05374439923915948,1,0.2325581395348837,0.2674418604651162,0.2674418604651162,0.313953488372093,0.2988505747126437,0.1494252873563218,0.3333333333333333,0.3563218390804598,0.3448275862068966,0.3218390804597701,0.28859930499866343,0.05916687812514374,1,0.3636363636363636,0.4181818181818182,0.4181818181818182,0.4655172413793103,0.4521739130434783,0.2549019607843137,0.5,0.5081967213114754,0.5128205128205129,0.4827586206896551,0.43763689700287456,0.0756109555110112,1,0.9509195747820622,0.935301833684038,0.9540315087585058,0.941535949498538,0.9641083338401346,0.927490252522181,0.9556211018535412,0.94985708204099,0.9650340908323028,0.95866190949205,0.9502561637304344,0.011586726526840747,1,102.1772129535675,1,1000,50,2,2,entropy
"{'n_estimators': 1000, 'max_depth': 46, 'min_samples_split': 30, 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.7333333333333333,0.9090909090909092,0.9444444444444444,0.9,0.8333333333333334,0.8333333333333334,1.0,0.9310344827586208,1.0,0.9615384615384616,0.9046108297832436,0.07953750297341283,4,0.127906976744186,0.2325581395348837,0.1976744186046511,0.313953488372093,0.1149425287356321,0.057471264367816,0.2988505747126437,0.3103448275862069,0.2988505747126437,0.2873563218390804,0.22399091152098366,0.08966147334177327,4,0.2178217821782178,0.3703703703703703,0.3269230769230769,0.4655172413793103,0.202020202020202,0.1075268817204301,0.4601769911504424,0.4655172413793103,0.4601769911504424,0.4424778761061947,0.3518528654377997,0.12593412669651333,4,0.9470458830923948,0.9315374525182412,0.9518657940043178,0.9354487197004892,0.9608039895396217,0.920922108023002,0.9509923168927,0.9466811273963254,0.9639191280315162,0.9563035942346289,0.9465520113433238,0.012859448586473534,4,98.9254503250122,1,1000,46,30,2,entropy
"{'n_estimators': 1000, 'max_depth': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.8333333333333334,0.9583333333333334,0.9583333333333334,0.9,0.9285714285714286,0.8666666666666667,1.0,0.8857142857142857,1.0,0.9655172413793104,0.9296469622331692,0.05374439923915948,1,0.2325581395348837,0.2674418604651162,0.2674418604651162,0.313953488372093,0.2988505747126437,0.1494252873563218,0.3333333333333333,0.3563218390804598,0.3448275862068966,0.3218390804597701,0.28859930499866343,0.05916687812514374,1,0.3636363636363636,0.4181818181818182,0.4181818181818182,0.4655172413793103,0.4521739130434783,0.2549019607843137,0.5,0.5081967213114754,0.5128205128205129,0.4827586206896551,0.43763689700287456,0.0756109555110112,1,0.9509195747820622,0.935301833684038,0.9540315087585058,0.941535949498538,0.9641083338401346,0.927490252522181,0.9556211018535412,0.94985708204099,0.9650340908323028,0.95866190949205,0.9502561637304344,0.011586726526840747,1,94.33078837394714,1,1000,50,2,2,entropy
